,name,height,mass,hair_color,skin_color,eye_color,birth_year,gender
0,Luke Skywalker,172,77,blond,fair,blue,19BBY,male
1,C-3PO,167,75,n/a,gold,yellow,112BBY,n/a
2,R2-D2,96,32,n/a,"white, blue",red,33BBY,n/a
3,Darth Vader,202,136,none,white,yellow,41.9BBY,male
4,Leia Organa,150,49,brown,light,brown,19BBY,female
5,Owen Lars,178,120,"brown, grey",light,blue,52BBY,male
6,Beru Whitesun lars,165,75,brown,light,blue,47BBY,female
7,R5-D4,97,32,n/a,"white, red",red,unknown,n/a
8,Biggs Darklighter,183,84,black,light,brown,24BBY,male
9,Obi-Wan Kenobi,182,77,"auburn, white",fair,blue-gray,57BBY,male
